"local","tipo","hora","tot"
"Entrada","4",8,274
"Entrada","4",9,430
"Entrada","4",10,543
"Entrada","4",11,485
"Entrada","4",12,338
"Entrada","4",13,421
"Entrada","4",14,382
"Entrada","4",15,484
"Entrada","4",16,663
"Entrada","4",17,520
"Entrada","4",18,480
"Entrada","4",19,135
"Entrada","4",20,49
"Palco Getnet","1",8,254
"Palco Getnet","1",9,448
"Palco Getnet","1",10,432
"Palco Getnet","1",11,442
"Palco Getnet","1",12,466
"Palco Getnet","1",13,381
"Palco Getnet","1",14,227
"Palco Getnet","1",15,269
"Palco Getnet","1",16,471
"Palco Getnet","1",17,689
"Palco Getnet","1",18,1519
"Palco Getnet","1",19,1143
"Palco Getnet","1",20,152
"Corredor","2",8,237
"Corredor","2",9,450
"Corredor","2",10,605
"Corredor","2",11,753
"Corredor","2",12,581
"Corredor","2",13,417
"Corredor","2",14,517
"Corredor","2",15,523
"Corredor","2",16,629
"Corredor","2",17,623
"Corredor","2",18,449
"Corredor","2",19,122
"Corredor","2",20,98
"Restaurante","3",8,31
"Restaurante","3",9,38
"Restaurante","3",10,154
"Restaurante","3",11,267
"Restaurante","3",12,342
"Restaurante","3",13,210
"Restaurante","3",14,158
"Restaurante","3",15,120
"Restaurante","3",16,232
"Restaurante","3",17,172
"Restaurante","3",18,81
"Restaurante","3",19,1
"Restaurante","3",20,4
