group,variable,value
08,Dia 02/08,277
09,Dia 02/08,474
10,Dia 02/08,542
11,Dia 02/08,761
12,Dia 02/08,673
13,Dia 02/08,653
14,Dia 02/08,702
15,Dia 02/08,455
16,Dia 02/08,438
17,Dia 02/08,339
18,Dia 02/08,286
19,Dia 02/08,210
20,Dia 02/08,274
08,Dia 01/08,237
09,Dia 01/08,450
10,Dia 01/08,605
11,Dia 01/08,753
12,Dia 01/08,581
13,Dia 01/08,417
14,Dia 01/08,517
15,Dia 01/08,523
16,Dia 01/08,629
17,Dia 01/08,623
18,Dia 01/08,449
19,Dia 01/08,122
20,Dia 01/08,98
08,Dia 31/07,600
09,Dia 31/07,771
10,Dia 31/07,592
11,Dia 31/07,496
12,Dia 31/07,574
13,Dia 31/07,592
14,Dia 31/07,684
15,Dia 31/07,630
16,Dia 31/07,508
17,Dia 31/07,472
18,Dia 31/07,454
19,Dia 31/07,171
20,Dia 31/07,76
