group,variable,value
08,Dia 02/08,288
09,Dia 02/08,418
10,Dia 02/08,349
11,Dia 02/08,579
12,Dia 02/08,390
13,Dia 02/08,475
14,Dia 02/08,306
15,Dia 02/08,246
16,Dia 02/08,311
17,Dia 02/08,283
18,Dia 02/08,908
19,Dia 02/08,1165
20,Dia 02/08,218
08,Dia 01/08,254
09,Dia 01/08,448
10,Dia 01/08,432
11,Dia 01/08,442
12,Dia 01/08,466
13,Dia 01/08,381
14,Dia 01/08,227
15,Dia 01/08,269
16,Dia 01/08,471
17,Dia 01/08,689
18,Dia 01/08,1519
19,Dia 01/08,1143
20,Dia 01/08,152
08,Dia 31/07,503
09,Dia 31/07,628
10,Dia 31/07,537
11,Dia 31/07,427
12,Dia 31/07,402
13,Dia 31/07,406
14,Dia 31/07,434
15,Dia 31/07,393
16,Dia 31/07,427
17,Dia 31/07,381
18,Dia 31/07,1028
19,Dia 31/07,1533
20,Dia 31/07,458
