group,variable,value
08,Dia 02/08,36
09,Dia 02/08,44
10,Dia 02/08,117
11,Dia 02/08,336
12,Dia 02/08,481
13,Dia 02/08,504
14,Dia 02/08,244
15,Dia 02/08,53
16,Dia 02/08,51
17,Dia 02/08,42
18,Dia 02/08,54
19,Dia 02/08,45
20,Dia 02/08,21
08,Dia 01/08,31
09,Dia 01/08,38
10,Dia 01/08,154
11,Dia 01/08,267
12,Dia 01/08,342
13,Dia 01/08,210
14,Dia 01/08,158
15,Dia 01/08,120
16,Dia 01/08,232
17,Dia 01/08,172
18,Dia 01/08,81
19,Dia 01/08,1
20,Dia 01/08,4
08,Dia 31/07,124
09,Dia 31/07,137
10,Dia 31/07,110
11,Dia 31/07,357
12,Dia 31/07,492
13,Dia 31/07,330
14,Dia 31/07,276
15,Dia 31/07,268
16,Dia 31/07,139
17,Dia 31/07,127
18,Dia 31/07,44
19,Dia 31/07,1
20,Dia 31/07,4
